Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Heavily indebted poor countries (HIPC),HPC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47058823529412E-01,1.44054054054054E+00,1.57894736842105E+00,1.66842105263158E+00,1.78421052631579E+00,2.07368421052632E+00,2.01052631578947E+00,2.04736842105263E+00,2.47631578947368E+00,2.69210526315790E+00,2.93157894736842E+00,3.07368421052632E+00
High income,HIC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79268292682927E+00,5.23333333333333E+00,6.07021276595745E+00,5.78200000000000E+00,6.41960784313725E+00,7.51960784313725E+00,7.99019607843137E+00,9.52264150943396E+00,1.03314814814815E+01,1.19660714285714E+01,1.22196428571429E+01,1.35839285714286E+01
IBRD only,IBD,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85000000000000E+00,4.25087719298246E+00,5.28275862068965E+00,6.01379310344828E+00,7.84310344827586E+00,1.01000000000000E+01,1.17517241379310E+01,1.28982758620690E+01,1.41406779661017E+01,1.65046153846154E+01,1.76246153846154E+01,1.96169230769231E+01
IDA & IBRD total,IBT,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63207547169811E+00,2.65040000000000E+00,3.22204724409449E+00,3.70472440944882E+00,4.73149606299213E+00,6.00312500000000E+00,6.76015625000000E+00,7.67265625000000E+00,8.42595419847328E+00,9.73571428571429E+00,1.00521428571429E+01,1.15914285714286E+01
IDA blend,IDB,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17272727272727E+00,1.94375000000000E+00,2.56875000000000E+00,3.48750000000000E+00,4.96250000000000E+00,5.20000000000000E+00,5.58125000000000E+00,8.23750000000000E+00,9.41250000000000E+00,8.90000000000000E+00,7.45555555555555E+00,8.04444444444444E+00
IDA only,IDX,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08510638297872E-01,1.11346153846154E+00,1.16415094339623E+00,1.24339622641509E+00,1.25660377358491E+00,1.84074074074074E+00,1.74814814814815E+00,1.89259259259259E+00,2.12321428571429E+00,2.28070175438597E+00,2.23684210526316E+00,3.55964912280702E+00
IDA total,IDA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96551724137931E-01,1.30882352941176E+00,1.48985507246377E+00,1.76376811594203E+00,2.11594202898551E+00,2.60857142857143E+00,2.62428571428571E+00,3.34285714285714E+00,3.74305555555556E+00,3.86933333333333E+00,3.48933333333333E+00,4.63600000000000E+00
Late-demographic dividend,LTE,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85555555555556E+00,2.67750000000000E+00,4.06904761904762E+00,4.15227272727273E+00,6.38444444444444E+00,8.78666666666667E+00,1.05844444444444E+01,1.28777777777778E+01,1.40400000000000E+01,1.70083333333333E+01,1.74354166666667E+01,2.04625000000000E+01
Latin America & Caribbean,LCN,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22000000000000E+00,6.04827586206897E+00,7.20344827586207E+00,7.76666666666666E+00,8.87000000000000E+00,9.93333333333333E+00,9.85666666666667E+00,9.23225806451613E+00,1.02935483870968E+01,1.36181818181818E+01,1.35272727272727E+01,1.32606060606061E+01
Latin America & Caribbean (excluding high income),LAC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00625000000000E+00,5.54090909090909E+00,6.31818181818182E+00,7.60000000000000E+00,8.70000000000000E+00,9.68181818181818E+00,9.75454545454545E+00,8.45909090909091E+00,9.62727272727273E+00,1.19500000000000E+01,1.14958333333333E+01,1.10750000000000E+01
Latin America & the Caribbean (IDA & IBRD countries),TLA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.70526315789474E+00,6.26428571428571E+00,7.46071428571428E+00,8.32142857142857E+00,9.50357142857143E+00,1.06428571428571E+01,1.05607142857143E+01,1.02214285714286E+01,1.13964285714286E+01,1.49800000000000E+01,1.48800000000000E+01,1.45866666666667E+01
Least developed countries: UN classification,LDC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32432432432432E-01,5.52380952380952E-01,5.90697674418605E-01,5.13953488372093E-01,6.20930232558140E-01,6.48837209302325E-01,5.90697674418605E-01,9.55813953488372E-01,1.16222222222222E+00,1.36086956521739E+00,1.27826086956522E+00,1.51956521739130E+00
Low & middle income,LMY,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18333333333333E+00,2.37435897435897E+00,2.85714285714286E+00,3.41596638655462E+00,4.48739495798319E+00,5.74916666666667E+00,6.58166666666666E+00,7.39583333333333E+00,8.16747967479675E+00,9.16060606060606E+00,9.43787878787879E+00,1.08030303030303E+01
Low income,LIC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20833333333333E-01,6.44444444444444E-01,7.00000000000000E-01,6.21428571428571E-01,7.42857142857143E-01,7.78571428571428E-01,7.10714285714286E-01,8.78571428571429E-01,9.31034482758621E-01,9.86206896551724E-01,1.23103448275862E+00,1.36206896551724E+00
Lower middle income,LMC,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37317073170732E+00,1.89333333333333E+00,2.88222222222222E+00,3.26222222222222E+00,3.82000000000000E+00,4.65869565217391E+00,5.10434782608696E+00,6.44782608695652E+00,7.12553191489362E+00,7.75961538461539E+00,7.28269230769231E+00,8.68461538461539E+00
Middle East & North Africa,MEA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56250000000000E+00,2.47647058823529E+00,3.85882352941176E+00,3.81052631578947E+00,5.16315789473684E+00,5.54210526315789E+00,5.58947368421052E+00,7.84500000000000E+00,8.31904761904762E+00,8.44285714285714E+00,8.84761904761905E+00,1.02952380952381E+01
Middle East & North Africa (excluding high income),MNA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56363636363636E+00,2.45833333333333E+00,2.94166666666667E+00,3.97500000000000E+00,4.77500000000000E+00,5.84166666666667E+00,5.60000000000000E+00,7.15833333333333E+00,7.33846153846154E+00,8.99230769230769E+00,9.55384615384616E+00,1.10307692307692E+01
