_1961,Country_Name,Indicator_Name
5.05753748810412E+01,Mexico,Agricultural land (% of land area)
5.10478237506717E+01,Comoros,Agricultural land (% of land area)
5.12790382355600E+01,Bulgaria,Agricultural land (% of land area)
5.14195306319768E+01,Ghana,Agricultural land (% of land area)
5.23591880629117E+01,Morocco,Agricultural land (% of land area)
5.25304268846503E+01,Ethiopia,Agricultural land (% of land area)
5.33036076205918E+01,Rwanda,Agricultural land (% of land area)
5.49364613880743E+01,Lebanon,Agricultural land (% of land area)
5.53191489361702E+01,Andorra,Agricultural land (% of land area)
5.54950877896486E+01,Germany,Agricultural land (% of land area)
5.56642636457261E+01,Tunisia,Agricultural land (% of land area)
5.61259706643658E+01,Djibouti,Agricultural land (% of land area)
5.62500000000000E+01,Liechtenstein,Agricultural land (% of land area)
5.62500000000000E+01,Malta,Agricultural land (% of land area)
5.64441993013422E+01,Togo,Agricultural land (% of land area)
5.70175438596491E+01,Isle of Man,Agricultural land (% of land area)
5.71428571428571E+01,St. Kitts and Nevis,Agricultural land (% of land area)
5.77459179609717E+01,Afghanistan,Agricultural land (% of land area)
5.83863214642555E+01,Nigeria,Agricultural land (% of land area)
5.88431953558299E+01,India,Agricultural land (% of land area)
5.93211933162085E+01,Mozambique,Agricultural land (% of land area)
5.94986163112486E+01,Guinea,Agricultural land (% of land area)
5.99179674148342E+01,New Zealand,Agricultural land (% of land area)
6.00479616306954E+01,El Salvador,Agricultural land (% of land area)
6.00842195696601E+01,Australia,Agricultural land (% of land area)
6.02322206095791E+01,Haiti,Agricultural land (% of land area)
6.04343639302542E+01,Madagascar,Agricultural land (% of land area)
6.07973421926910E+01,West Bank and Gaza,Agricultural land (% of land area)
6.13317757009346E+01,Burundi,Agricultural land (% of land area)
6.30773276646103E+01,France,Agricultural land (% of land area)
6.33889033602501E+01,Romania,Agricultural land (% of land area)
6.34825011082442E+00,Libya,Agricultural land (% of land area)
6.47058823529412E+01,Grenada,Agricultural land (% of land area)
6.63488850435862E+01,Poland,Agricultural land (% of land area)
6.64892552723198E+01,Spain,Agricultural land (% of land area)
6.66666666666667E+01,Tuvalu,Agricultural land (% of land area)
6.71577123050260E+00,Lao PDR,Agricultural land (% of land area)
6.85426540284360E+01,Netherlands,Agricultural land (% of land area)
6.87737781679836E-01,Greenland,Agricultural land (% of land area)
6.90864724721671E+00,Guyana,Agricultural land (% of land area)
6.91233514352211E+01,Greece,Agricultural land (% of land area)
6.94475760992108E+01,Puerto Rico,Agricultural land (% of land area)
6.99859725188893E+01,Somalia,Agricultural land (% of land area)
7.03240284247390E+01,Italy,Agricultural land (% of land area)
7.28278405162480E+01,Bangladesh,Agricultural land (% of land area)
7.45810715128629E+01,Denmark,Agricultural land (% of land area)
7.57575757575758E+00,Kuwait,Agricultural land (% of land area)
7.60538059006710E+00,Central African Republic,Agricultural land (% of land area)
7.67855316593922E+00,Canada,Agricultural land (% of land area)
7.72638743231385E+00,Bhutan,Agricultural land (% of land area)
7.86650377609951E+01,Hungary,Agricultural land (% of land area)
8.00000000000000E+00,Bermuda,Agricultural land (% of land area)
8.12982914354119E+01,Syrian Arab Republic,Agricultural land (% of land area)
8.18418550820485E+01,United Kingdom,Agricultural land (% of land area)
8.18696472637538E+01,Ireland,Agricultural land (% of land area)
8.35346099629871E+01,South Africa,Agricultural land (% of land area)
8.50131752305665E+01,Lesotho,Agricultural land (% of land area)
8.53488372093023E+01,Swaziland,Agricultural land (% of land area)
8.61361771944217E+00,Vanuatu,Agricultural land (% of land area)
9.05552408661397E+01,Mongolia,Agricultural land (% of land area)
9.08007485472274E+00,Finland,Agricultural land (% of land area)
9.34407496286139E+01,Uruguay,Agricultural land (% of land area)
9.49170598082484E+00,Malaysia,Agricultural land (% of land area)
