Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Surface area (sq. km),AG.SRF.TOTL.K2,,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817810000000E+07,1.37817910000000E+07,1.37818010000000E+07,1.37818010000000E+07,1.37818110000000E+07,1.37818210000000E+07,1.37792810000000E+07,1.37792830000000E+07,1.31528355000000E+07,1.31528385000000E+07,1.31528385000000E+07,1.31528385000000E+07,1.31528385000000E+07
Caribbean small states,CSS,Surface area (sq. km),AG.SRF.TOTL.K2,,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05
Central Europe and the Baltics,CEB,Surface area (sq. km),AG.SRF.TOTL.K2,,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13496900000000E+06,1.13496900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13495900000000E+06,1.13495900000000E+06,1.13494900000000E+06,1.13494900000000E+06,1.13495400000000E+06,1.13496000000000E+06,1.13490700000000E+06,1.13487600000000E+06,1.13487600000000E+06,1.13488600000000E+06,1.13488600000000E+06,1.13488600000000E+06
Early-demographic dividend,EAR,Surface area (sq. km),AG.SRF.TOTL.K2,,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42585500000000E+07,3.42585700000000E+07,3.41409700000000E+07,3.41340470000000E+07,3.41340470000000E+07,3.41340470000000E+07,3.41340470000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068670000000E+07,3.41051940000000E+07,3.41052040000000E+07,3.41052040000000E+07,3.41052140000000E+07,3.41052240000000E+07,3.41057640000000E+07,3.41057680000000E+07,3.41057730000000E+07,3.41057760000000E+07,3.41057760000000E+07,3.41057760000000E+07,3.41057760000000E+07
East Asia & Pacific,EAS,Surface area (sq. km),AG.SRF.TOTL.K2,,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48207900000000E+07,2.48207900000000E+07,2.48228300000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48215700000000E+07,2.48215800000000E+07,2.48215800000000E+07,2.48222500000000E+07,2.48240800000000E+07,2.48241100000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48222600000000E+07,2.48226302000000E+07,2.48227452000000E+07,2.48227867000000E+07,2.48228235000000E+07,2.48247508000000E+07,2.48247960000000E+07,2.48248470000000E+07,2.48248110000000E+07,2.48248885000000E+07,2.48249297000000E+07,2.48249309000000E+07,2.48250789000000E+07,2.48251983000000E+07,2.48251983000000E+07,2.48251983000000E+07
East Asia & Pacific (excluding high income),EAP,Surface area (sq. km),AG.SRF.TOTL.K2,,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62681600000000E+07,1.62681600000000E+07,1.62702000000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62689400000000E+07,1.62689500000000E+07,1.62689500000000E+07,1.62696200000000E+07,1.62709900000000E+07,1.62710200000000E+07,1.62710400000000E+07,1.62710400000000E+07,1.62710300000000E+07,1.62710200000000E+07,1.62710200000000E+07,1.62710200000000E+07,1.62710200000000E+07,1.62691400000000E+07,1.62691442000000E+07,1.62691932000000E+07,1.62692027000000E+07,1.62692065000000E+07,1.62711038000000E+07,1.62711034000000E+07,1.62711028000000E+07,1.62709418000000E+07,1.62709420000000E+07,1.62708480000000E+07,1.62708420000000E+07,1.62708630000000E+07,1.62708630000000E+07,1.62708630000000E+07,1.62708630000000E+07
East Asia & Pacific (IDA & IBRD countries),TEA,Surface area (sq. km),AG.SRF.TOTL.K2,,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61474400000000E+07,1.61474400000000E+07,1.61494800000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61482200000000E+07,1.61482300000000E+07,1.61482300000000E+07,1.61489000000000E+07,1.61502700000000E+07,1.61503000000000E+07,1.61503200000000E+07,1.61503200000000E+07,1.61503100000000E+07,1.61503000000000E+07,1.61503000000000E+07,1.61503000000000E+07,1.61503000000000E+07,1.61484200000000E+07,1.61484242000000E+07,1.61484732000000E+07,1.61484827000000E+07,1.61484865000000E+07,1.61503838000000E+07,1.61503834000000E+07,1.61503828000000E+07,1.61502218000000E+07,1.61502220000000E+07,1.61501280000000E+07,1.61501220000000E+07,1.61501430000000E+07,1.61501430000000E+07,1.61501430000000E+07,1.61501430000000E+07
Euro area,EMU,Surface area (sq. km),AG.SRF.TOTL.K2,,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72527500000000E+06,2.72528500000000E+06,2.72530500000000E+06,2.72531500000000E+06,2.72531500000000E+06,2.72531500000000E+06,2.72531500000000E+06,2.75744500000000E+06,2.75746500000000E+06,2.75777500000000E+06,2.75782500000000E+06,2.75783500000000E+06,2.75785500000000E+06,2.75815500000000E+06,2.75814400000000E+06,2.75816000000000E+06,2.75829600000000E+06,2.75848000000000E+06,2.75842200000000E+06,2.75879600000000E+06,2.75881200000000E+06,2.75881200000000E+06,2.75881200000000E+06
Europe & Central Asia,ECS,Surface area (sq. km),AG.SRF.TOTL.K2,,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608590000000E+07,2.83609490000000E+07,2.83609590000000E+07,2.83609890000000E+07,2.83610690000000E+07,2.84298090000000E+07,2.84297390000000E+07,2.84297390000000E+07,2.84618690000000E+07,2.84618890000000E+07,2.84621990000000E+07,2.84622490000000E+07,2.84623290000000E+07,2.84623490000000E+07,2.84626390000000E+07,2.84626280000000E+07,2.84626440000000E+07,2.84627790000000E+07,2.84629690000000E+07,2.84629110000000E+07,2.84604050000000E+07,2.84604210000000E+07,2.84604210000000E+07,2.84604210000000E+07
Europe & Central Asia (excluding high income),ECA,Surface area (sq. km),AG.SRF.TOTL.K2,,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837690000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838490000000E+07,2.34838490000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838580000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07
Europe & Central Asia (IDA & IBRD countries),TEC,Surface area (sq. km),AG.SRF.TOTL.K2,,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529970000000E+07,2.38529990000000E+07,2.38530690000000E+07,2.38530690000000E+07,2.38530790000000E+07,2.38531490000000E+07,2.38531390000000E+07,2.38530690000000E+07,2.38530690000000E+07,2.38530690000000E+07,2.38530690000000E+07,2.38530690000000E+07,2.38530690000000E+07,2.38531390000000E+07,2.38531390000000E+07,2.38531290000000E+07,2.38531290000000E+07,2.38531290000000E+07,2.38531280000000E+07,2.38531380000000E+07,2.38531380000000E+07,2.38531380000000E+07,2.38531380000000E+07,2.38531380000000E+07,2.38531380000000E+07
European Union,EUU,Surface area (sq. km),AG.SRF.TOTL.K2,,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35276500000000E+06,4.35278500000000E+06,4.35279500000000E+06,4.35281500000000E+06,4.35289500000000E+06,4.35289500000000E+06,4.35282500000000E+06,4.35282500000000E+06,4.38495500000000E+06,4.38497500000000E+06,4.38528500000000E+06,4.38533500000000E+06,4.38540500000000E+06,4.38542500000000E+06,4.38571500000000E+06,4.38570400000000E+06,4.38572000000000E+06,4.38585600000000E+06,4.38604000000000E+06,4.38598200000000E+06,4.38347600000000E+06,4.38349200000000E+06,4.38349200000000E+06,4.38349200000000E+06
Fragile and conflict affected situations,FCS,Surface area (sq. km),AG.SRF.TOTL.K2,,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51822880000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51831680000000E+07,1.51800880000000E+07,1.51800880000000E+07,1.51982205000000E+07,1.51982205000000E+07,1.51982205000000E+07,1.51982205000000E+07,1.51982205000000E+07
Heavily indebted poor countries (HIPC),HPC,Surface area (sq. km),AG.SRF.TOTL.K2,,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.05109510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,2.03933510000000E+07,1.97671535000000E+07,1.97671535000000E+07,1.97671535000000E+07,1.97671535000000E+07,1.97671535000000E+07
High income,HIC,Surface area (sq. km),AG.SRF.TOTL.K2,,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66031324000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66030424000000E+07,3.66035024000000E+07,3.66035224000000E+07,3.66035424000000E+07,3.66035524000000E+07,3.66035824000000E+07,3.66036724000000E+07,3.66724224000000E+07,3.66723524000000E+07,3.66723524000000E+07,3.67074324000000E+07,3.67078184000000E+07,3.67081944000000E+07,3.67082864000000E+07,3.67083894000000E+07,3.67084494000000E+07,3.67087850000000E+07,3.67088356000000E+07,3.69084666000000E+07,3.69086799000000E+07,3.69089971000000E+07,3.69089513000000E+07,3.69065753000000E+07,3.69067057000000E+07,3.69067057000000E+07,3.69067057000000E+07
IBRD only,IBD,Surface area (sq. km),AG.SRF.TOTL.K2,,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00809760000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00808860000000E+07,7.00813460000000E+07,7.00813480000000E+07,7.00813380000000E+07,7.00813380000000E+07,7.00813280000000E+07,7.00813880000000E+07,7.00813880000000E+07,7.00541280000000E+07,7.00541280000000E+07,7.00541180000000E+07,7.00541122000000E+07,7.00541112000000E+07,7.00541107000000E+07,7.00541705000000E+07,7.00541698000000E+07,7.00541594000000E+07,7.00541588000000E+07,7.00541588000000E+07,7.00516190000000E+07,7.00516310000000E+07,7.00516310000000E+07,7.00516290000000E+07,7.00516250000000E+07,7.00516250000000E+07,7.00516250000000E+07
IDA & IBRD total,IBT,Surface area (sq. km),AG.SRF.TOTL.K2,,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86271540000000E+07,9.86250340000000E+07,9.86250340000000E+07,9.86270740000000E+07,9.86270640000000E+07,9.86270640000000E+07,9.86270640000000E+07,9.86270640000000E+07,9.86270640000000E+07,9.86270640000000E+07,9.86270640000000E+07,9.86257240000000E+07,9.86257340000000E+07,9.86257340000000E+07,9.86264040000000E+07,9.86277740000000E+07,9.86278060000000E+07,9.85102960000000E+07,9.85033730000000E+07,9.85033730000000E+07,9.85034330000000E+07,9.85034230000000E+07,9.84761630000000E+07,9.84761630000000E+07,9.84742830000000E+07,9.84742872000000E+07,9.84743362000000E+07,9.84743457000000E+07,9.84727365000000E+07,9.84746338000000E+07,9.84746234000000E+07,9.84746228000000E+07,9.84744618000000E+07,9.84719210000000E+07,9.84718390000000E+07,9.84899655000000E+07,9.84899845000000E+07,9.84899805000000E+07,9.84899805000000E+07,9.84899805000000E+07
IDA blend,IDB,Surface area (sq. km),AG.SRF.TOTL.K2,,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95095000000000E+06,6.95095000000000E+06,6.95299000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95307000000000E+06,6.95173000000000E+06,6.95174000000000E+06,6.95174000000000E+06,6.95241000000000E+06,6.95244000000000E+06,6.95247000000000E+06,6.95257000000000E+06,6.95257000000000E+06,6.95258000000000E+06,6.95258000000000E+06,6.95257000000000E+06,6.95257000000000E+06,6.95257000000000E+06,6.95070000000000E+06,6.95071000000000E+06,6.95076000000000E+06,6.95077000000000E+06,6.95078400000000E+06,6.95268200000000E+06,6.95268200000000E+06,6.95268200000000E+06,6.95252100000000E+06,6.95252100000000E+06,6.95242700000000E+06,6.95242100000000E+06,6.95244200000000E+06,6.95244200000000E+06,6.95244200000000E+06,6.95244200000000E+06
IDA only,IDX,Surface area (sq. km),AG.SRF.TOTL.K2,,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15931080000000E+07,2.15939880000000E+07,2.15939880000000E+07,2.14763880000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14694650000000E+07,2.14677820000000E+07,2.14677820000000E+07,2.14677820000000E+07,2.14677820000000E+07,2.14677820000000E+07,2.14677810000000E+07,2.14677810000000E+07,2.14859135000000E+07,2.14859135000000E+07,2.14859135000000E+07,2.14859135000000E+07,2.14859135000000E+07
IDA total,IDA,Surface area (sq. km),AG.SRF.TOTL.K2,,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85440580000000E+07,2.85440580000000E+07,2.85460980000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85461780000000E+07,2.85448380000000E+07,2.85448480000000E+07,2.85448480000000E+07,2.85455180000000E+07,2.85464280000000E+07,2.85464580000000E+07,2.84289580000000E+07,2.84220350000000E+07,2.84220450000000E+07,2.84220450000000E+07,2.84220350000000E+07,2.84220350000000E+07,2.84220350000000E+07,2.84201650000000E+07,2.84201750000000E+07,2.84202250000000E+07,2.84202350000000E+07,2.84185660000000E+07,2.84204640000000E+07,2.84204640000000E+07,2.84204640000000E+07,2.84203030000000E+07,2.84203020000000E+07,2.84202080000000E+07,2.84383345000000E+07,2.84383555000000E+07,2.84383555000000E+07,2.84383555000000E+07,2.84383555000000E+07
Late-demographic dividend,LTE,Surface area (sq. km),AG.SRF.TOTL.K2,,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57677750000000E+07,4.57677750000000E+07,4.57698150000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57698950000000E+07,4.57685550000000E+07,4.57685650000000E+07,4.57685650000000E+07,4.57692350000000E+07,4.57692650000000E+07,4.57692970000000E+07,4.57693970000000E+07,4.57693970000000E+07,4.57693970000000E+07,4.57693870000000E+07,4.57693770000000E+07,4.57693770000000E+07,4.57693770000000E+07,4.57674970000000E+07,4.57675012000000E+07,4.57675502000000E+07,4.57675597000000E+07,4.57675735000000E+07,4.57694708000000E+07,4.57694604000000E+07,4.57694598000000E+07,4.57693038000000E+07,4.57693090000000E+07,4.57691720000000E+07,4.57691350000000E+07,4.57691540000000E+07,4.57691600000000E+07,4.57691600000000E+07,4.57691600000000E+07
