_2013,Country_Name,Indicator_Name
2.89123246045223E+01,Honduras,Agricultural land (% of land area)
3.00369834378517E+01,Latvia,Agricultural land (% of land area)
3.02544693187309E+01,Ecuador,Agricultural land (% of land area)
3.03605057842346E+01,Panama,Agricultural land (% of land area)
3.14644203646561E+01,Indonesia,Agricultural land (% of land area)
3.19294044848599E+01,Zambia,Agricultural land (% of land area)
3.19687500000000E+01,Malta,Agricultural land (% of land area)
3.23529411764706E+01,Grenada,Agricultural land (% of land area)
3.25274725274725E+00,Seychelles,Agricultural land (% of land area)
3.25581395348837E+01,Barbados,Agricultural land (% of land area)
3.28574665760254E+01,Cambodia,Agricultural land (% of land area)
3.32564739269244E+01,Benin,Agricultural land (% of land area)
3.33333333333333E+01,Dominica,Agricultural land (% of land area)
3.33333333333333E+01,Guam,Agricultural land (% of land area)
3.33576728793727E+01,Brazil,Agricultural land (% of land area)
3.37660528278383E+01,Mali,Agricultural land (% of land area)
3.47209779768570E+01,Guatemala,Agricultural land (% of land area)
3.47733776423890E+01,Bolivia,Agricultural land (% of land area)
3.48313803943984E+01,Tajikistan,Agricultural land (% of land area)
3.50000000000000E+01,Liechtenstein,Agricultural land (% of land area)
3.50685329119231E+01,Vietnam,Agricultural land (% of land area)
3.53532801768375E+01,Niger,Agricultural land (% of land area)
3.55855855855856E+01,Costa Rica,Agricultural land (% of land area)
3.62590000000000E+01,Ethiopia,Agricultural land (% of land area)
3.67160742552885E+01,Georgia,Agricultural land (% of land area)
3.82216379299899E+01,Austria,Agricultural land (% of land area)
3.85281847288251E+01,Mauritania,Agricultural land (% of land area)
3.85852090032154E+00,Solomon Islands,Agricultural land (% of land area)
3.86096770928232E+01,Switzerland,Agricultural land (% of land area)
3.96561308767471E+01,Chad,Agricultural land (% of land area)
3.97598253275109E+01,Portugal,Agricultural land (% of land area)
4.01035601397438E+01,Slovak Republic,Agricultural land (% of land area)
4.03926092834610E+01,Colombia,Agricultural land (% of land area)
4.09972299168975E+01,Jamaica,Agricultural land (% of land area)
4.17211657779119E+01,Philippines,Agricultural land (% of land area)
4.18766963939511E+01,Zimbabwe,Agricultural land (% of land area)
4.19753086419753E+01,Kiribati,Agricultural land (% of land area)
4.20890809373442E+01,Nicaragua,Agricultural land (% of land area)
4.21484375000000E+01,Bosnia and Herzegovina,Agricultural land (% of land area)
4.21784208727356E+01,New Zealand,Agricultural land (% of land area)
4.23645320197044E+01,Mauritius,Agricultural land (% of land area)
4.30042876151989E+01,Belarus,Agricultural land (% of land area)
4.30555555555556E+01,Tonga,Agricultural land (% of land area)
4.32774178394566E+01,Thailand,Agricultural land (% of land area)
4.33321167883212E+01,Albania,Agricultural land (% of land area)
4.35215946843854E+01,West Bank and Gaza,Agricultural land (% of land area)
4.36931908786477E+01,Sri Lanka,Agricultural land (% of land area)
4.41380449141347E+01,Belgium,Agricultural land (% of land area)
4.42553191489362E+01,Andorra,Agricultural land (% of land area)
4.43225521513170E+01,United States,Agricultural land (% of land area)
4.47617972454279E+01,Tanzania,Agricultural land (% of land area)
4.49561403508772E+01,Burkina Faso,Agricultural land (% of land area)
4.56548973938207E+01,Botswana,Agricultural land (% of land area)
4.57296650717703E+00,United Arab Emirates,Agricultural land (% of land area)
4.57976851851852E+01,Sudan,Agricultural land (% of land area)
4.60114222549742E+01,Bulgaria,Agricultural land (% of land area)
4.61332269644994E+01,Lithuania,Agricultural land (% of land area)
4.63200540175557E+01,Senegal,Agricultural land (% of land area)
4.63384782756510E+01,Italy,Agricultural land (% of land area)
4.66666666666667E+01,British Virgin Islands,Agricultural land (% of land area)
4.70592077332550E+01,Poland,Agricultural land (% of land area)
4.70630967206310E+01,Pakistan,Agricultural land (% of land area)
4.71389182426605E+01,Namibia,Agricultural land (% of land area)
4.74474959612278E+00,Oman,Agricultural land (% of land area)
4.74773401780701E+01,Angola,Agricultural land (% of land area)
4.79055488609629E+01,Germany,Agricultural land (% of land area)
4.85469304564782E+01,Kenya,Agricultural land (% of land area)
4.86754966887417E+01,Dominican Republic,Agricultural land (% of land area)
4.95789473684210E+01,Channel Islands,Agricultural land (% of land area)
4.99239894494757E+01,Turkey,Agricultural land (% of land area)
5.05328185328185E+01,Luxembourg,Agricultural land (% of land area)
5.07291666666667E+01,Sao Tome and Principe,Agricultural land (% of land area)
5.16271559298648E+01,Australia,Agricultural land (% of land area)
5.25492323173660E+01,France,Agricultural land (% of land area)
5.33333333333333E-01,Suriname,Agricultural land (% of land area)
5.38613782211471E+01,Spain,Agricultural land (% of land area)
5.43292222501888E+01,Paraguay,Agricultural land (% of land area)
5.45180491761946E+01,Argentina,Agricultural land (% of land area)
5.46290301696232E+01,Czech Republic,Agricultural land (% of land area)
5.47055971183153E+01,Sierra Leone,Agricultural land (% of land area)
5.48084187711588E+01,China,Agricultural land (% of land area)
5.48737748737749E+01,Netherlands,Agricultural land (% of land area)
5.48908150929808E+01,Mexico,Agricultural land (% of land area)
5.51918665276329E+01,Kyrgyz Republic,Agricultural land (% of land area)
5.74735046899744E-01,Greenland,Agricultural land (% of land area)
5.77045451795933E+01,Azerbaijan,Agricultural land (% of land area)
5.79579236222273E+01,Serbia,Agricultural land (% of land area)
5.79658605974395E+01,Guinea-Bissau,Agricultural land (% of land area)
5.80675795729559E+01,Afghanistan,Agricultural land (% of land area)
5.82342807924203E+00,Qatar,Agricultural land (% of land area)
5.89859715011598E+01,Hungary,Agricultural land (% of land area)
5.90102555754517E+01,Guinea,Agricultural land (% of land area)
5.90832455216017E+01,Armenia,Agricultural land (% of land area)
5.95806442521771E+01,Cuba,Agricultural land (% of land area)
6.00000000000000E+00,Bermuda,Agricultural land (% of land area)
6.00000000000000E+01,Tuvalu,Agricultural land (% of land area)
6.04486371342868E+01,Romania,Agricultural land (% of land area)
6.06352099933069E+01,India,Agricultural land (% of land area)
6.14128128977514E+01,Malawi,Agricultural land (% of land area)
6.14895121376385E+01,Denmark,Agricultural land (% of land area)
6.29290079924777E+01,Uzbekistan,Agricultural land (% of land area)
6.31264546159814E+01,Greece,Agricultural land (% of land area)
6.35189094330985E+01,Mozambique,Agricultural land (% of land area)
6.38888888888889E+01,Marshall Islands,Agricultural land (% of land area)
6.39997425334707E+01,Tunisia,Agricultural land (% of land area)
6.43206256109482E+01,Lebanon,Agricultural land (% of land area)
6.47798742138365E+01,Cote d'Ivoire,Agricultural land (% of land area)
6.49876614893308E+01,Ireland,Agricultural land (% of land area)
6.52173913043478E+00,Northern Mariana Islands,Agricultural land (% of land area)
6.67634252539913E+01,Haiti,Agricultural land (% of land area)
6.80701754385965E+01,Isle of Man,Agricultural land (% of land area)
6.81178579430876E+01,Morocco,Agricultural land (% of land area)
6.89988573437637E+01,Ghana,Agricultural land (% of land area)
6.99700391795345E+01,Bangladesh,Agricultural land (% of land area)
7.01446733888645E+00,Belize,Agricultural land (% of land area)
7.02334988049274E+01,Togo,Agricultural land (% of land area)
7.03366595466573E+01,Somalia,Agricultural land (% of land area)
7.10465116279070E+01,Swaziland,Agricultural land (% of land area)
7.11842557579924E+01,Madagascar,Agricultural land (% of land area)
7.12473244493544E+01,Ukraine,Agricultural land (% of land area)
7.13024428553714E+01,United Kingdom,Agricultural land (% of land area)
7.14669532509404E+01,Comoros,Agricultural land (% of land area)
7.17555707312138E+00,Canada,Agricultural land (% of land area)
7.18880909634949E+01,Uganda,Agricultural land (% of land area)
7.20064690485817E+01,Turkmenistan,Agricultural land (% of land area)
7.29356445840521E+01,Mongolia,Agricultural land (% of land area)
7.34253666954271E+01,Djibouti,Agricultural land (% of land area)
7.41798418972332E+01,Lesotho,Agricultural land (% of land area)
7.43196551383724E+00,Finland,Agricultural land (% of land area)
7.46858532630726E+01,Rwanda,Agricultural land (% of land area)
7.48244709579221E+00,Sweden,Agricultural land (% of land area)
7.48479318734793E+01,Moldova,Agricultural land (% of land area)
7.51683168316832E+01,Eritrea,Agricultural land (% of land area)
7.58100528236127E+01,Syrian Arab Republic,Agricultural land (% of land area)
7.63513513513514E+01,El Salvador,Agricultural land (% of land area)
7.77364208307256E+01,Nigeria,Agricultural land (% of land area)
7.91666666666667E+01,Burundi,Agricultural land (% of land area)
7.98300208558310E+01,South Africa,Agricultural land (% of land area)
8.03771159758492E+01,Kazakhstan,Agricultural land (% of land area)
8.06139489879936E+01,Saudi Arabia,Agricultural land (% of land area)
8.15435487495586E+00,Central African Republic,Agricultural land (% of land area)
8.20649068677865E+01,Uruguay,Agricultural land (% of land area)
8.52425704851410E+00,Guyana,Agricultural land (% of land area)
8.61952861952862E+00,Kuwait,Agricultural land (% of land area)
8.72671266353706E+00,Libya,Agricultural land (% of land area)
9.47666195190948E-01,Singapore,Agricultural land (% of land area)
