_2013,Country_Name,Indicator_Name
1.00765864332604E+01,New Caledonia,Agricultural land (% of land area)
1.01169844020797E+01,Lao PDR,Agricultural land (% of land area)
1.01247771836007E+01,Equatorial Guinea,Agricultural land (% of land area)
1.05263157894737E+00,Turks and Caicos Islands,Agricultural land (% of land area)
1.05263157894737E+01,Trinidad and Tobago,Agricultural land (% of land area)
1.08695652173913E+01,Palau,Agricultural land (% of land area)
1.11111111111111E+01,Aruba,Agricultural land (% of land area)
1.11688311688312E+01,Bahrain,Agricultural land (% of land area)
1.12500000000000E+01,Cayman Islands,Agricultural land (% of land area)
1.14285714285714E+01,Virgin Islands (U.S.),Agricultural land (% of land area)
1.17965367965368E+01,Cyprus,Agricultural land (% of land area)
1.19013291281820E+01,Jordan,Agricultural land (% of land area)
1.23674911660777E+01,Samoa,Agricultural land (% of land area)
1.24316939890710E+01,French Polynesia,Agricultural land (% of land area)
1.24451393460610E+01,Japan,Agricultural land (% of land area)
1.32406253453804E+01,Russian Federation,Agricultural land (% of land area)
1.36317128840150E+01,Bhutan,Agricultural land (% of land area)
1.53404429860541E+01,Vanuatu,Agricultural land (% of land area)
1.65895910780669E+01,Montenegro,Agricultural land (% of land area)
1.66666666666667E+01,San Marino,Agricultural land (% of land area)
1.73770491803279E+01,St. Lucia,Agricultural land (% of land area)
1.73955343572346E+01,Algeria,Agricultural land (% of land area)
1.86753117206983E+01,Iceland,Agricultural land (% of land area)
1.90109375000000E+01,Peru,Agricultural land (% of land area)
1.92732896429228E+01,Myanmar,Agricultural land (% of land area)
2.00000000000000E+01,Nauru,Agricultural land (% of land area)
2.00256141576435E+01,Gabon,Agricultural land (% of land area)
2.04545454545455E+01,Antigua and Barbuda,Agricultural land (% of land area)
2.06257536333058E+01,Cameroon,Agricultural land (% of land area)
2.08436724565757E+01,Cabo Verde,Agricultural land (% of land area)
2.12243723202229E+01,Chile,Agricultural land (% of land area)
2.12516117148646E+01,Iraq,Agricultural land (% of land area)
2.14899713467049E+00,Faroe Islands,Agricultural land (% of land area)
2.22886133032694E+01,Puerto Rico,Agricultural land (% of land area)
2.27883934890304E+01,Estonia,Agricultural land (% of land area)
2.30769230769231E+01,St. Kitts and Nevis,Agricultural land (% of land area)
2.32621784345922E+01,Fiji,Agricultural land (% of land area)
2.32648320228735E+01,Croatia,Agricultural land (% of land area)
2.37388282025819E+01,Slovenia,Agricultural land (% of land area)
2.38593821336174E+01,Malaysia,Agricultural land (% of land area)
2.40434380776340E+01,Israel,Agricultural land (% of land area)
2.45000000000000E+01,American Samoa,Agricultural land (% of land area)
2.55548083389375E+01,Timor-Leste,Agricultural land (% of land area)
2.56410256410256E+01,St. Vincent and the Grenadines,Agricultural land (% of land area)
2.62774367354149E+00,Papua New Guinea,Agricultural land (% of land area)
2.63333333333333E+01,Maldives,Agricultural land (% of land area)
2.70287067584772E+00,Norway,Agricultural land (% of land area)
2.73244781783681E+00,Brunei Darussalam,Agricultural land (% of land area)
2.80315614617940E+01,Liberia,Agricultural land (% of land area)
2.87478200209278E+01,Nepal,Agricultural land (% of land area)
