"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
"Belarus","913","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","4.37355160001972","6.19237785337475","7.59980285855101","10.2759980285855","12.0847708230655","13.3172270979193","15.0961064563825","16.3471489823074","18.2396136218028","20.1468631412942",,,
"Austria","122","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","96.3429401792202","89.4042140954226","91.3780576410753","92.2037346508755","94.1291869505195","96.5593247023774","97.5521129831276","98.8807326113816","101.126726435668","103.318752953436","105.657268178018","105.948067998691",
"Canada","156","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","5.33215447060596","5.79028339991928","6.10930212866099","6.35409209425183","6.61724680568889","6.66376349726343","6.81486026847719","6.55412486487616","6.49914059587552","7.14795497008306","7.25704375978033","7.30553988503889",
"Central African Republic","626","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","0","0","0","0","0.00481556390253299","0.012841503740088","0.0272881954476869","0.0385245112202639","0.0385245112202639","0.0481556390253299",,,
"Brunei Darussalam","516","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","17.0777988614801","21.6318785578748","23.719165085389","30.550284629981","37.7609108159393","44.2125237191651","44.7817836812144","44.9715370018975","52.561669829222","47.8178368121442","48.0075901328273","47.6280834914611",
"Brazil","223","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","16.685171581237","17.5631181100101","17.6516545547215","18.3248904660606","19.057948299502","19.8129009564329","20.9281012282637","20.8017573287837","20.9543032301445","23.4391862304293","23.860691493562",,
"Antigua and Barbuda","311","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","70.4545454545455","88.6363636363636","88.6363636363636","86.3636363636364","97.7272727272727","102.272727272727","109.090909090909","113.636363636364","118.181818181818","127.272727272727","125","122.727272727273",
"Costa Rica","238","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","15.1390520955738","17.0779475127301","19.3301997649824","22.6792009400705","24.6964355660008","27.5949862906385","29.3576184880533","35.7814336075206","37.7790834312573","51.0967489228359","57.3443008225617",,
"Comoros","632","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","1.07469102632993","1.07469102632993","1.07469102632993","1.07469102632993","2.14938205265986","3.22407307898979","4.29876410531972","15.583019881784","12.8962923159592","13.9709833422891","14.5083288554541",,
"Chad","628","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","0","0.00317662007623888","0.00317662007623888","0.0039707750952986","0.0127064803049555","0.0158831003811944","0.0206480304955527","0.0238246505717916","0.0206480304955527","0.0230304955527319","0.0508259212198221",,
"Cameroon","622","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","0.065579319244357","0.124812252755389","0.14808233377758","0.196737957733071","0.277125510355186","0.361743986799518","0.435785153688308","0.583867487465888","0.662139578176895","0.833491992976667","0.973112479109814",,
"Bulgaria","918","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","16.1180581095991","20.9775405007364","33.1952499309583","40.6500322253936","47.794862351533","52.1370670596905","53.3621960206338","54.8544583640383","54.0162122328666","53.9885777450258","52.0265291083272","66.7280766396463",
"Burundi","618","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","0.0778816199376947","0.0778816199376947","0.0778816199376947","0.0778816199376947","0.116822429906542","0.506230529595016","0.973520249221184","1.36292834890966","1.94704049844237","3.15420560747664","3.15420560747664",,
"Bhutan","514","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","0.0524700264973634","0.0524700264973634","0.0524700264973634","0.262350132486817","0.393525198730225","0.524700264973634","1.10187055644463","1.88892095390508","1.07563554319595","2.80714641760894","3.22690662958785",,
"Belgium","124","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","239.002642007926","239.630118890357","240.02642007926","252.443857331572","257.265521796565","258.817701453104","274.43857331572","282.628797886394","286.789960369881","287.351387054161","288.705416116248","288.210039630119",
"Australia","193","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","2.80514949949885","3.05533499082306","3.2042487275946","3.34287908569048","3.33988519063301","3.52863074860393","3.74419119274176","3.92512658969319","3.97159704775913","3.9220025252854","3.97589263631985",,
"Angola","614","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","0.0681799951872945","0.120317638565814","0.260688216892596","0.391433384134114","0.57511831234459","0.798107002486565","1.03392957407556","1.30664955482474","1.61546482714366","1.87214245608406","2.07668244164595",,
"Albania","914","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value","3.39416058394161","7.48175182481752","11.2773722627737","15.8029197080292","23.4306569343066","27.043795620438","28.1386861313869","29.3795620437956","30.036496350365","30","29.5985401459854","30.1459854014599",
"Croatia","960","Geographical Outreach: Key Indicators, Number of ATMs per 1000 km2, Number","FCAK_NUM","Value",,"41.2258756254467","47.1944245889921","53.5203716940672","59.7212294496069","64.349535382416","67.7984274481773","71.0328806290207","72.9628305932809","73.6776268763402","75.4467476769121","78.9492494639028",
