,Country_Name,Country_Code,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,Population,Area
30,Canada,156,0.7394284495205921,0.748005995484692,0.745476719110662,0.7513050516247299,0.763401590804871,0.775608098523013,0.782975990569098,0.784625518639117,0.782536116417093,,,,35099836.0,9984670.0
176,United States,111,8.24401435506968,8.49319793231113,8.75329625231393,9.06742254898537,9.289395261177471,9.59101036139152,9.557011703846552,9.57570549947417,9.60095852163779,9.344055482310859,9.0928371059818,,321368864.0,9826675.0
22,Brazil,223,7.27996898831558,7.52404243049291,7.65577030296214,8.02487156233325,8.34097059872173,8.552141983742791,8.73567564075261,,,,,,204259812.0,8514877.0
8,Australia,193,0.643036590604376,0.6522786144774351,0.6770107910391422,0.692370774377465,0.705387709409942,0.7131978704294291,0.714239225232027,0.71541074938495,0.7417049581505542,0.7354568293349649,0.7227002330031371,,22751014.0,7741220.0
74,India,534,22.755693379837798,23.1680450963443,23.495975702864598,24.276618715924602,25.6132302341929,26.935379171865897,28.714612924165603,30.6455356031737,33.211466472038495,35.8429834622073,39.5931642444647,,1251695584.0,3287263.0
5,Argentina,213,1.38159601562471,1.3775765614665902,1.39584680763989,1.40827057503773,1.41996353258864,1.42398298674676,1.44371485261392,1.47477427110853,1.5040066649858002,1.52629636531723,1.54383580164359,1.56758712166888,43431886.0,2780400.0
84,Kazakhstan,916,0.155572841426825,0.16742601029744,0.13223691521280098,0.14334926102900303,0.15409119531799803,0.152609549209171,0.149646256991518,0.15409119531799803,0.153720783790792,0.15409119531799803,0.160388191280513,0.141126791865763,18157122.0,2724900.0
2,Algeria,612,0.454289720960306,0.465625970928817,0.49963472083434796,0.523146942991259,0.552957081797341,0.5567358317868449,0.55547624845701,0.5785686095039762,0.5932637483520451,0.6020808316608871,0.610897914969728,,39542166.0,2381741.0
141,Saudi Arabia,456,0.571245156278347,0.5758969897985289,0.607064274383748,0.6373011922649311,0.6647470100340049,0.7159171787560071,0.7498755634533351,0.7763910145183721,0.7996501821192821,0.833143383464593,0.900129786155213,0.9359489042606141,27752316.0,2149690.0
109,Mexico,273,4.02633812598061,4.126134931454,4.34784845289231,4.885928136011731,5.34838859024152,5.71362432161321,6.01301473803339,6.14882070012089,6.65603539185679,6.76046194603771,6.8437974227732195,6.6231127343810305,121736809.0,1964375.0
75,Indonesia,536,4.45580352953515,4.61864570510662,5.1005481433231905,5.41519234696976,6.06766506400526,7.152911562898481,7.705470945091831,8.23429401016798,9.243363491336241,10.3103937468605,11.0776839978582,,255993674.0,1904569.0
157,Sudan,732,0.18350168350168303,0.17929292929292898,0.178451178451178,0.18265993265993302,0.18728956228956198,0.202020202020202,0.24242424242424201,0.25715488215488197,0.267676767676768,0.28493265993266,0.299242424242424,,36108853.0,1861484.0
96,Libya,672,0.19777896495675001,0.20403059890653197,0.250065357991293,0.257453652659218,0.260863634813645,0.26882025984064,0.28018686702206297,0.281891858099276,0.288711822408129,,,,6411776.0,1759540.0
112,Mongolia,948,0.45057802724066,0.481474806251448,0.545843095857257,0.641751847369912,0.705476454079662,0.681660186925513,0.6977522593269649,0.8522361543809059,0.898581322897088,0.9449264914132701,0.9655243440871291,,2992908.0,1564116.0
130,Peru,293,0.615625,0.64453125,0.68046875,0.79296875,1.03828125,1.06953125,1.1,1.15625,1.27421875,1.31875,1.39140625,1.43671875,30444999.0,1285216.0
32,Chad,628,0.0150889453621347,0.0150889453621347,0.0150889453621347,0.0158831003811944,0.0222363405336722,0.0262071156289708,0.0301778907242694,0.034148665819568,0.034148665819568,0.0389135959339263,0.0524142312579415,,11631456.0,1284000.0
122,Niger,692,0.0213152285466172,0.027630851819689,0.026841398910555002,0.0386831925475645,0.0489460803663061,0.0497355332754401,0.0607878740033157,0.0726296676403252,0.0892081787321386,0.10578668982395201,,,18045729.0,1267000.0
3,Angola,614,0.144381166278976,0.185289163391353,0.289564450148392,0.344108446298227,0.42913291088473604,0.498917141252908,0.735541830432341,0.859870056950349,0.9609368733456322,1.1181519210716298,1.1630705061361999,,19625353.0,1246700.0
104,Mali,678,0.131946664044124,0.13850302002147197,0.151615731976168,0.176202066891222,0.17456297789688502,0.202427490800613,0.236848359681689,0.283562396020292,0.329456887861726,0.35486276727394894,,,16955536.0,1240192.0
150,South Africa,199,1.2554715643521899,1.91082277489716,2.00727068890189,1.6626960901499501,2.2051125637833997,2.64778375883075,2.90003214930467,3.0789141778433597,3.04511619088444,3.14733449290654,3.4399755995021004,3.3657848964215398,53675563.0,1219090.0
37,Colombia,233,3.66922036953583,3.17079765660207,8.397476340694011,9.123028391167189,12.702118071203198,21.950428120775104,34.7417755745831,45.445696259576394,82.1207751239297,,,,46736728.0,1138910.0
55,Ethiopia,644,0.33399999999999996,0.377,0.39899999999999997,0.473,0.542,0.618,0.6629999999999999,0.9570000000000001,1.5319999999999998,,,,99465819.0,1104300.0
19,Bolivia,218,0.23354564755838603,0.27231607126373103,0.312932705621711,0.330471706821748,0.359087971937598,0.40339702760084895,0.514169666758977,0.568632881011723,0.607403304717068,0.7347918397489149,0.9849533831810211,,10800882.0,1098581.0
107,Mauritania,682,0.0795575822256719,0.0824682254778306,0.0853788687299893,0.0873192975647618,0.100902299408169,0.148442805860095,0.16008537886873,,,,,,3596702.0,1030700.0
51,Egypt,469,1.8564468330905601,1.91169822693254,2.01516901903662,2.2170877492591297,2.39590135114772,2.5154452760058303,2.58275151941333,2.64403033803807,2.67014917876337,2.7173640062283395,2.77361997086745,,88487396.0,1001450.0
